quickSort, size: 2; time: 1052
insertSort, size: 2; time: 344
sort, size: 2; time: 1043
quickSort, size: 3; time: 1654
insertSort, size: 3; time: 606
sort, size: 3; time: 1575
quickSort, size: 4; time: 3530
insertSort, size: 4; time: 999
sort, size: 4; time: 3409
quickSort, size: 5; time: 4469
insertSort, size: 5; time: 1523
sort, size: 5; time: 4152
quickSort, size: 6; time: 4615
insertSort, size: 6; time: 2453
sort, size: 6; time: 4715
quickSort, size: 7; time: 5149
insertSort, size: 7; time: 3421
sort, size: 7; time: 5088
quickSort, size: 8; time: 11429
insertSort, size: 8; time: 4659
sort, size: 8; time: 7099
quickSort, size: 9; time: 7593
insertSort, size: 9; time: 5806
sort, size: 9; time: 7365
quickSort, size: 10; time: 9967
insertSort, size: 10; time: 7343
sort, size: 10; time: 9462
quickSort, size: 11; time: 11648
insertSort, size: 11; time: 10281
sort, size: 11; time: 11072
quickSort, size: 12; time: 14349
insertSort, size: 12; time: 14392
sort, size: 12; time: 14066
quickSort, size: 13; time: 12189
insertSort, size: 13; time: 12175
sort, size: 13; time: 11037
quickSort, size: 14; time: 11986
insertSort, size: 14; time: 14433
sort, size: 14; time: 11657
quickSort, size: 15; time: 14803
insertSort, size: 15; time: 17720
sort, size: 15; time: 11938
quickSort, size: 16; time: 14411
insertSort, size: 16; time: 18608
sort, size: 16; time: 16567
quickSort, size: 17; time: 22152
insertSort, size: 17; time: 29940
sort, size: 17; time: 18659
quickSort, size: 18; time: 17585
insertSort, size: 18; time: 24701
sort, size: 18; time: 19412
quickSort, size: 19; time: 27997
insertSort, size: 19; time: 39964
sort, size: 19; time: 25290
quickSort, size: 20; time: 24166
insertSort, size: 20; time: 32276
sort, size: 20; time: 19853
quickSort, size: 21; time: 20431
insertSort, size: 21; time: 30487
sort, size: 21; time: 20873
quickSort, size: 22; time: 25371
insertSort, size: 22; time: 39311
sort, size: 22; time: 32732
quickSort, size: 23; time: 32172
insertSort, size: 23; time: 43953
sort, size: 23; time: 26929
quickSort, size: 24; time: 31967
insertSort, size: 24; time: 41882
sort, size: 24; time: 28996
quickSort, size: 25; time: 36735
insertSort, size: 25; time: 76722
sort, size: 25; time: 34406
quickSort, size: 26; time: 26915
insertSort, size: 26; time: 47426
sort, size: 26; time: 25571
quickSort, size: 27; time: 26956
insertSort, size: 27; time: 49297
sort, size: 27; time: 25193
quickSort, size: 28; time: 26895
insertSort, size: 28; time: 53032
sort, size: 28; time: 26285
quickSort, size: 29; time: 27188
insertSort, size: 29; time: 56271
sort, size: 29; time: 26838
quickSort, size: 30; time: 27468
insertSort, size: 30; time: 60521
sort, size: 30; time: 27020
quickSort, size: 31; time: 28113
insertSort, size: 31; time: 64072
sort, size: 31; time: 27532
quickSort, size: 32; time: 30949
insertSort, size: 32; time: 68087
sort, size: 32; time: 29931
quickSort, size: 33; time: 30953
insertSort, size: 33; time: 80853
sort, size: 33; time: 30095
quickSort, size: 34; time: 32851
insertSort, size: 34; time: 76611
sort, size: 34; time: 31952
quickSort, size: 35; time: 33790
insertSort, size: 35; time: 80944
sort, size: 35; time: 32680
quickSort, size: 36; time: 36091
insertSort, size: 36; time: 86354
sort, size: 36; time: 34954
quickSort, size: 37; time: 36445
insertSort, size: 37; time: 90591
sort, size: 37; time: 35853
quickSort, size: 38; time: 38180
insertSort, size: 38; time: 95040
sort, size: 38; time: 37342
quickSort, size: 39; time: 39365
insertSort, size: 39; time: 100017
sort, size: 39; time: 38811
quickSort, size: 40; time: 42571
insertSort, size: 40; time: 105109
sort, size: 40; time: 41059
quickSort, size: 41; time: 42937
insertSort, size: 41; time: 110275
sort, size: 41; time: 41702
quickSort, size: 42; time: 51221
insertSort, size: 42; time: 115784
sort, size: 42; time: 43611
quickSort, size: 43; time: 46295
insertSort, size: 43; time: 121100
sort, size: 43; time: 44172
quickSort, size: 44; time: 49534
insertSort, size: 44; time: 126770
sort, size: 44; time: 47519
quickSort, size: 45; time: 48926
insertSort, size: 45; time: 132393
sort, size: 45; time: 47818
quickSort, size: 46; time: 50376
insertSort, size: 46; time: 138150
sort, size: 46; time: 50293
quickSort, size: 47; time: 51534
insertSort, size: 47; time: 146967
sort, size: 47; time: 52264
quickSort, size: 48; time: 53116
insertSort, size: 48; time: 150450
sort, size: 48; time: 55505
quickSort, size: 49; time: 53831
insertSort, size: 49; time: 157915
sort, size: 49; time: 52398
quickSort, size: 50; time: 54551
insertSort, size: 50; time: 164120
sort, size: 50; time: 52896
